road_id,idle_driver_count
"(6026248379, 436871646)",2
"(2932339394, 4737855165)",1
"(4677565748, 4677565732)",2
"(1887976773, 4493518910)",2
"(4529833718, 4529833776)",1
"(1887976782, 5114995570)",1
"(4492074216, 4677706891)",2
"(4617353675, 2146675897)",1
"(4677565748, 355173356)",1
"(4529833757, 4529774387)",2
"(1887976773, 1887976782)",1
"(4737855158, 4744225601)",1
"(4659739480, 4659803371)",6
"(733859260, 4659803371)",4
"(3828399481, 734690999)",6
"(734690999, 3828399481)",2
"(436862099, 436862095)",6
"(595750384, 597233184)",9
"(597181555, 597181433)",3
"(597181555, 595750392)",5
"(3828399236, 4643770714)",5
"(3822381154, 3828399236)",5
"(3828399236, 734691390)",8
"(3822381154, 3828399481)",5
"(436862095, 3828399236)",9
"(597181414, 597181468)",6
"(733859260, 3828399481)",6
"(3822381154, 436862095)",5
"(4659803371, 3828399664)",6
"(872558200, 733859260)",7
"(3828399481, 3822381154)",5
"(436862099, 4659739480)",8
"(3828399664, 436862099)",8
"(733859260, 595750359)",11
"(597233038, 597233184)",5
"(1430639131, 3975338440)",3
"(4659739480, 732440923)",3
"(597181605, 597181555)",4
"(595750392, 595750384)",5
"(4659739480, 3828399664)",9
"(4659739480, 1814908750)",5
"(595750392, 1814908750)",8
"(732440923, 732440865)",11
"(1814908750, 595750392)",4
"(4659803371, 4659739480)",7
"(595750392, 595750357)",7
"(614825229, 597181288)",4
"(732440923, 4659739480)",5
"(595750384, 732440923)",4
"(4659739480, 436862099)",6
"(597233184, 597181664)",6
"(595750359, 872558200)",7
"(734690646, 732440923)",4
"(1430639131, 732440923)",5
"(3828399664, 4659803371)",4
"(4643770714, 3828399236)",5
"(595750392, 4659739480)",8
"(4659803371, 595750357)",4
"(595750357, 4659803371)",4
"(734690999, 3828399236)",3
"(597181468, 614825421)",6
"(436862095, 3822381154)",5
"(875533115, 595750357)",2
"(595750392, 597181555)",4
"(436862095, 436862099)",6
"(595750384, 595750392)",5
"(4659803371, 3822381154)",4
"(3828399236, 734690999)",2
"(732440923, 595750384)",4
"(595750357, 875533115)",1
"(875533131, 733859260)",3
"(3828399481, 733859260)",4
"(3828399236, 3822381154)",4
"(734691390, 3828399236)",4
"(4659803371, 875533131)",2
"(3975338440, 1430639131)",5
"(597233184, 595750384)",4
"(597181288, 597181478)",5
"(595750357, 595750392)",4
"(597233030, 597233184)",3
"(875533131, 875533115)",3
"(3828399236, 436862095)",1
"(597233184, 597232975)",4
"(3822381154, 4659803371)",5
"(875533115, 875533131)",3
"(732440923, 734690646)",2
"(597181555, 597181478)",1
"(1904250965, 2280678836)",4
"(3828399481, 436862086)",3
"(867095689, 1904250965)",2
"(2204149203, 2204149207)",2
"(4784810914, 436862086)",3
"(867095689, 860338549)",4
"(2280678738, 2204149202)",2
"(2280678836, 436862086)",5
"(3418782698, 4784810914)",6
"(5034061175, 5034061185)",6
"(5034061187, 2280678782)",4
"(5034061187, 5034061185)",3
"(2204149207, 1326160737)",3
"(5034061175, 2110338712)",2
"(2280678809, 2280678836)",3
"(5034061191, 5034061187)",4
"(2280678738, 2280678776)",4
"(2280678782, 1326160737)",3
"(436835880, 5406340298)",4
"(867095689, 2280678842)",4
"(436835880, 4784810914)",5
"(2204149203, 2280678732)",5
"(1326160737, 2204149207)",4
"(597262591, 860338549)",2
"(2280678836, 1904250965)",5
"(436862086, 3828399481)",10
"(5034061187, 1326196503)",3
"(733859260, 2280678842)",4
"(436862086, 2280678836)",8
"(2204149207, 2280678757)",2
"(1326160737, 5034061185)",6
"(2280678827, 5034061187)",4
"(1326160737, 2280678782)",6
"(2280678757, 2204149207)",2
"(436835875, 436835880)",3
"(2280678732, 2280678716)",5
"(2110338712, 1904250965)",5
"(436861500, 846808283)",4
"(2280678711, 2204149210)",4
"(2204149202, 2204149210)",3
"(5034061191, 2280678809)",2
"(1326196489, 1326196503)",2
"(2280678732, 2280678738)",7
"(2204149210, 846808283)",4
"(1904250965, 867095689)",6
"(1326196489, 2280678776)",5
"(2204149203, 2280678716)",5
"(2280678776, 1326196489)",5
"(2204149202, 1326196489)",3
"(734690999, 4784810914)",6
"(860338549, 872558200)",2
"(4784810914, 734690999)",3
"(1326196503, 436861500)",5
"(2204149210, 2280678732)",4
"(436835880, 436835875)",3
"(2280678776, 5034061187)",4
"(860338549, 867095689)",1
"(436861500, 5034061191)",2
"(2204149210, 2280678711)",2
"(2110338712, 5034061175)",4
"(1904250965, 2110338712)",5
"(846808283, 436835875)",3
"(4784810914, 436835880)",6
"(2204149202, 2280678738)",5
"(2280678782, 2280678757)",7
"(5034061185, 2280678827)",5
"(2280678711, 2280678732)",3
"(436861500, 436862086)",5
"(2204149210, 2204149202)",2
"(1326196489, 2204149202)",2
"(2280678809, 5034061191)",2
"(2204149207, 2204149203)",3
"(1326196503, 1326196489)",2
"(4784810914, 3418782698)",4
"(436835880, 436861500)",3
"(2280678732, 2204149203)",4
"(5034061185, 5034061187)",3
"(5034061185, 1326160737)",4
"(5034061187, 2280678809)",2
"(2280678757, 2280678732)",2
